employee_id,first_name,last_name,email,city,department_id
1638,Jose,Martinez,jose.martinez@wsexng.com,Deborahborough,3
1007,Crystal,Volk,crystal.volk@wsexng.com,Barronberg,2
302,Louie,Null,louie.null@wsexng.com,Christinaborough,0
3208,Chris,Hogan,chris.hogan@wsexng.com,East Kevin,1
3724,Angie,Moody,angie.moody@wsexng.com,Markmouth,0
3559,Amy,Miller,amy.miller@wsexng.com,New Monica,1
3207,Franklin,Nichols,franklin.nichols@wsexng.com,Lake Charles,3
1828,Ruth,Storer,ruth.storer@wsexng.com,New Garyfurt,3
3956,Antonio,Lagunas,antonio.lagunas@wsexng.com,East Katherine,0
1565,Darrel,Parker,darrel.parker@wsexng.com,New Jerryshire,2
2077,Kenneth,Law,kenneth.law@wsexng.com,West Nicole,1
2312,Ruby,Comer,ruby.comer@wsexng.com,Tracyville,4
2098,Rogelio,Seneker,rogelio.seneker@wsexng.com,Burgessside,5
1422,Mickie,Tuten,mickie.tuten@wsexng.com,Tonytown,1
485,Juan,Yates,juan.yates@wsexng.com,Steeleshire,0
3236,Stacy,Riehl,stacy.riehl@wsexng.com,Denisehaven,2
3758,Gary,Coe,gary.coe@wsexng.com,Sotobury,0
2878,Margret,Smith,margret.smith@wsexng.com,Eatonmouth,1
650,James,Hopkins,james.hopkins@wsexng.com,South Kristen,3
3930,Kitty,Bradley,kitty.bradley@wsexng.com,Lake Alexander,0
496,Eunice,Lott,eunice.lott@wsexng.com,Lake Devinhaven,1
1127,Ann,Trask,ann.trask@wsexng.com,Lindabury,0
1569,Michael,Cason,michael.cason@wsexng.com,New Michealburgh,0
2992,Concepcion,Hall,concepcion.hall@wsexng.com,Rickbury,5
1990,Linda,Mcmillan,linda.mcmillan@wsexng.com,Lake Dillon,4
2628,Andrew,King,andrew.king@wsexng.com,New Richard,1
2376,Heidi,Griffith,heidi.griffith@wsexng.com,New Mackenzieland,1
1534,James,Smart,james.smart@wsexng.com,Brianborough,4
2363,Doris,Shows,doris.shows@wsexng.com,Jillville,5
3204,Darlene,Merritt,darlene.merritt@wsexng.com,North Randy,4
2580,Johnnie,Padberg,johnnie.padberg@wsexng.com,Gonzalezview,0
1288,Linda,Reck,linda.reck@wsexng.com,Christinashire,2
2530,Susan,Moore,susan.moore@wsexng.com,North Mariemouth,0
1016,Monica,Woodley,monica.woodley@wsexng.com,Lake Tonyashire,4
1621,Thomas,Brown,thomas.brown@wsexng.com,Rickeystad,2
3707,Paul,Rameriez,paul.rameriez@wsexng.com,Andrewside,4
2001,Steve,Umberger,steve.umberger@wsexng.com,North Kelsey,3
2477,Amada,Heinandez,amada.heinandez@wsexng.com,East Susan,5
2031,Ronald,Connell,ronald.connell@wsexng.com,New Julie,2
